축구,농구,배구,야구,족구,탁구,테니스,풋살,배드민턴
1,0.5271,0.642,0.638,0.503,0.3734,0.6379,0.5514,0.5928
0.5271,1,0.6303,0.4557,0.4831,0.2746,0.3917,0.2689,0.4561
0.642,0.6303,1,0.4423,0.5271,0.3063,0.6099,0.3918,0.6512
0.638,0.4557,0.4423,1,0.3672,0.3672,0.7185,0.5281,0.4675
0.503,0.4831,0.5271,0.3672,1,0.2457,0.3527,0.2541,0.3269
0.3734,0.2746,0.3063,0.3672,0.2457,1,0.4341,0.3154,0.3238
0.6379,0.3917,0.6099,0.7185,0.3527,0.4341,1,0.6555,0.6194
0.5514,0.2689,0.3918,0.5281,0.2541,0.3154,0.6555,1,0.5536
0.5928,0.4561,0.6512,0.4675,0.3269,0.3238,0.6194,0.5536,1
